Pays  Latitude  Longitude
Afrique du Sud  25°44'S  28°12'E
Espagne  40°25'N  03°45'W
Soudan  15°31'N  32°35'E
Soudan du Sud  07°51'N  30°20'E
Suriname  05°50'N  55°10'W
Eswatini  26°18'S  31°06'E
Sri Lanka  07°52'N  80°46'E
Suède  59°20'N  18°03'E
Suisse  46°57'N  07°28'E
République arabe syrienne  33°30'N  36°18'E
Tadjikistan  38°33'N  68°48'E
Thaïlande  13°45'N  100°35'E
Macédoine du Nord  42°01'N  21°26'E
Togo  06°09'N  01°20'E
Tonga  21°10'S  174°00'W
Trinité-et-Tobago  10°41'N  61°13'W
Tunisie  36°50'N  10°11'E
Turquie  39°57'N  32°54'E
Turkménistan  38°00'N  57°50'E
Tuvalu  08°31'S  179°13'E
Ouganda  00°20'N  32°30'E
Ukraine  50°30'N  30°28'E
Émirats arabes unis  24°28'N  54°22'E
Royaume-Uni  51°36'N  00°05'W
Tanzanie  06°08'S  35°45'E
Taipei chinois  23°36'N  120°46'E
États-Unis  39°91'N  77°02'W
Iles Vierges des +tats-Unis  18°21'N  64°56'W
Uruguay  34°50'S  56°11'W
Ouzbékistan  41°20'N  69°10'E
Vanuatu  17°45'S  168°18'E
Venezuela  10°30'N  66°55'W
Viet Nam  21°05'N  105°55'E
Serbie  44°50'N  20°37'E
Yémen  15°33'N  48°31'E
Zambie  15°28'S  28°16'E
Zimbabwe  17°43'S  31°02'E
Autorité palestinienne ou Cisjordanie et bande de Gaza  31°25'N  34°20'E
